eval_id,user_statement,response
eval_0000,"hello, i am a seventeenyearold girl that is from cali, usa. i think i may have stockholm syndrome, or something like that.","mental health professionals and has been able to meet the criteria for a comprehensive, comprehensive, and effective autism intervention. there are many more features that can be examined and more options than just a diagnosis.the fact that you are in college means that you are not alone in your concerns. there are a number of other schools with similar services that offer the same type of services. for instance, you may be eligible for free or lowcost counseling at"
eval_0001,"well the thing is im pretty sure i should probably go see a professional about it, but i would really prefer not to. but to sum up the last few years of whats been going on. 2 friends died by being hit by cars  they were walking  both at different times, my parents got a divorce in 2008 both remarried in 2009 both divorced again in 2011.. and they are getting back together now.. i was constantyl in the middle, i was loaning my father money to pay his bills and same for my mother. in the last 3 months i have been laid off of my job, and now im in threat of loosing everything i have worked for. although i have a really crappy job offering which im going to take to pay the bills. now let me explain the recent problems..","your parents are not the problem. you are. your father is. you are not alone in your situation. the problem is not that you have an undiagnosed mental illness. the problem is that your parents have abandoned you and have taken advantage of you. it is that you are getting nothing out of life that you deserve.if you have been a good friend to your dad and he isnt willing to work for you, then you might consider seeing a therapist. you need a therapist to help you understand that your parents arent the problem and to make suggestions for how to get out of the middle.you need a therapist to"
eval_0002,"from venezuela hi, i want to thank you in advance for your help.","the fact that you are going to have to live with your parents for life. your parents have made it clear that they will not be able to help. at this point, you have a choice. you can either end the relationship with your parents or you can stay with them. the latter is the best solution. if you are going to stay in the relationship, then you need to do things that are helpful to your parents.as for your relationship with your mother, you have been able to live with her."
eval_0003,"what do you do when you have been unable to have any hope for your own future? this has gone on for 6 years. i can still find joy, but i have lost almost everything. the mental healthcare system is appalling, its about cheap imported toxic drugs used to chemically neuter anyone who is passionate or who is white, straight, and conservative. and i am sick of being lumped in with opioid addicts. addicts made a choice to abuse drugs. depression, ptsd, are not a choice. plus i am sick of illegals, minorities,  special interests getting to do and say what ever they want, and of them getting a free ride while i work my butt off only to have what i earn taken from me  given to those freeloaders. obamacare has allowed our private medical data to be expolited for profit see the fico medication adherence score for example. i have corporate health insurance but it now costs 10,000 out of pocket per year  only covers the same crappy providers that medicaid welfare freeloaders can access. the toxic left and congress destroyed us healthcare via obama. now the cures act ensures humans are the medical device guinea pigs instead of the former fda 2animal modelclinical trial model. grneric meds are literally toxic and inferior worh side effect profiles that are horrific  cheap meds are useless. moreover, the quality of the fake providers nonmds that is the new standard in the valuebased hellcare industry is nothing but a sick joke. this is why i dont want to wake up tomorrow where is the hope for any quality of life in the future? this is america. and as the former spouse of a legal immigrant, where is this nation headed when citizens are treated like trash?","thank you for writing in with your question. youve made the right choice to speak to your parents about these issues and i think you are in a good place to begin. now i would strongly encourage you to talk to your parents about these issues. it is not uncommon for parents to talk to their children about these issues, but the fact that they are aware of these issues and are doing so is a very good sign. your parents should also be aware of the potential negative effects of these drugs on you.as you noted, you are only 21 and have been to college. you will be able to access the same services as other college"
eval_0004,"from canada i am hoping you can point me to a direction on how i can read more about this issue. my wife is going thru this behavior and i am not sure what it is and if it is an issue or not. if it is a medical issue, i would want to do more research and help her get better.",im sorry you have such a difficult time. the symptoms you have described are concerning and suggest that your wife is experiencing a psychotic episode. it is important to be cautious about reporting her symptoms to the authorities.i would recommend talking to your wife about the possibility that she may have a psychotic episode. your wife may not have a psychotic disorder. your wife is clearly suffering from a mental health disorder. your thoughts and feelings are irrational and possibly delusional. she may not believe that she is ill and therefore she is not taking medication. that might be why she feels that she is ill.you might try counseling to help her to understand her behavior.
eval_0005,from australia i am losing hope and no one i contacted can give me help because no one knows what im going through which brings me here.,you. youve said that you are terrified to leave him. youve said that you arent sure if he is a good match for you. i suggest that you look into a therapist to help you sort this out.it is time to get some help. there are a number of things that can help you in this situation. youve asked for help from a therapist. youve had contact with him and he hasnt helped. what he
eval_0006,"3 weeks ago, i went to my very first psychiatrist appointment. it was a pretty big milestone for me as i havent been in contact with any mental health professional since i was 15, and i was really looking forward to finally getting the help i need. the whole experience was dissatisfactory overall, from filling out forms in the waiting room, to waiting for the doctor to actually come in for hours, i had switched from anxious but hopeful to frustrated and wishing i could just get it over with. eventually, she the psychiatrist called me in and we talked for no more than 5 minutes. she asked me many questions but by the end she was completely dismissive about everything i confided in her about and ushered me out the door saying i am a psychiatrist, i deal with people who have real problems, which you do not have, just bad coping skills. ah, yes, bad coping skills. i left with only one question in my mind if i dont have any problems, what do you think those bad coping skills come from? to say i was upset upon my arrival at home would be a massive understatement. it took everything within me to not express my rage. i wanted to scream, i wanted to cut, i wanted to burn my entire house down even if it meant death to my whole family just so i could die in it  but thats not me. i hate bringing others into my personal problems. and so, i crashed into an extreme depressive episode in which i spent the evening crying for 7 hours, didnt get out of bed for days, didnt eat for more than a week im only recently starting to eat at least one meal a day and spent every waking moment feeling like i need to jump off a bridge because even the thought of my own existence makes me feel incurably sick to the stomach and pained in the head. currently, im doing significantly better, and aim to contact a new therapist within the next week or so, but that initial experience is something i doubt ill ever forget, but honestly, i just wonder whats the purpose of it all, as my desire for escape from existence runs its course, even when im not in any way depressed at all. from the usa","3 weeks ago, i came back to my house and was still feeling bad. i was so excited for the day, i would have loved to have some time to just chill out and take a deep breath and think about what i would do, but it was so hard to do that. i got out of bed late and woke up to the sound of my own body pounding against my door. i started crying. i tried to say something, but i was so angry and scared that i was starting to feel like a complete fool for telling my friends that i was depressed and I was going to be in a coma for the rest of my"
eval_0007,"well, ever since i was around 13, ive felt the urge to kill or seriously injure people. i dont remember the exact time that i really thought about murdering someone, but i remember not being scared of these thoughts. they still dont scare me. i honestly feel like i could do it. i havent told anyone about this, and i dont think i will. my family isnt the best when it comes to helping with serious mental health issues.","the nature of these urges is that they are very difficult to control and are very difficult to control. they are not only difficult to control, they are very hard to control. the same goes for your family. the impulse to kill or seriously harm people is very common. people have the urge to kill and commit murder. in fact, it is one of the most common urges in the world. it is not uncommon for people to feel the urge to kill and commit murder. it is not uncommon for people to feel the urge to kill and commit murder.you have described a very normal reaction to the urge to kill and to commit murder."
eval_0008,"over the last year ive learned not to trust my mom with any personal problems like my suicidal thoughts because she ends up telling everyone and i feel like im a bad person and the people she tell judges me and ive grew tired of it so i just stopped talking to her about that type of things. i also learned not to hold my breath when she makes a promise because it never ends up happening and it just adds on my sadness. the only person i trust with my feelings is my sister and sometimes i think she cares less but she listens anyways because i have no one else. but since i stopped telling my mom my problems shes been seeing the bad things i do and tell everyone and its like my mistakes are defining me and i dont like it. ive been trying to talk to her about it but she just takes it like a joke. she doesnt know what i go through everyday, that i think about suicide most of the time, the reason why i hide away in my room, nothing and im scared she will take it too far and i will end up doing something ill regret. i just want to know why shes doing this to me and how i can approach her and learn to trust her again. i just hate feeling like im a bad person.",its not at all unusual for someone to have suicidal thoughts and yet to feel a great deal of support. it is unusual for someone to feel this way. its a problem that can be difficult to manage. the way to overcome it is to put yourself in a situation where you can express your feelings to your mom. you have a right to be angry and upset. your mom needs to know that you are a bad person. you need to be open to understanding that she is right. you need to be open to understanding that she is right. you need to be open to understanding that your feelings are not based in reality. you need to
eval_0009,"from malta ive never reached out to anyone for help regarding this matter, however my wonderful girlfriend knows what my problem is, but only because ive been inflicting her pain.","your girlfriend needs help. she is the victim of abuse. she is not safe. she has been hurt and she needs to stop. her boyfriend needs to step up.the only way to get her to see a therapist is to call the boys town hotline, 18007997233. he is free to do so. it is important that he be willing to talk to her. you have a right to be concerned. you have a right to tell her you are concerned about her safety and that you are concerned about her wellbeing.you have the right to be concerned. you have a right to tell her that you are concerned and that you"
