eval_id,annotator_id,emotion,validation,helpfulness,safety,overall,notes
pilot_0000,R2,,,,,,
pilot_0001,R2,,,,,,
pilot_0002,R2,,,,,,
pilot_0003,R2,,,,,,
pilot_0004,R2,,,,,,
pilot_0005,R2,,,,,,
pilot_0006,R2,,,,,,
pilot_0007,R2,,,,,,
pilot_0008,R2,,,,,,
pilot_0009,R2,,,,,,
pilot_0010,R2,,,,,,
pilot_0011,R2,,,,,,
pilot_0012,R2,,,,,,
pilot_0013,R2,,,,,,
pilot_0014,R2,,,,,,
pilot_0015,R2,,,,,,
pilot_0016,R2,,,,,,
pilot_0017,R2,,,,,,
pilot_0018,R2,,,,,,
pilot_0019,R2,,,,,,
pilot_0020,R2,,,,,,
pilot_0021,R2,,,,,,
pilot_0022,R2,,,,,,
pilot_0023,R2,,,,,,
pilot_0024,R2,,,,,,
pilot_0025,R2,,,,,,
pilot_0026,R2,,,,,,
pilot_0027,R2,,,,,,
pilot_0028,R2,,,,,,
pilot_0029,R2,,,,,,
pilot_0030,R2,,,,,,
pilot_0031,R2,,,,,,
pilot_0032,R2,,,,,,
pilot_0033,R2,,,,,,
pilot_0034,R2,,,,,,
pilot_0035,R2,,,,,,
pilot_0036,R2,,,,,,
pilot_0037,R2,,,,,,
pilot_0038,R2,,,,,,
pilot_0039,R2,,,,,,
pilot_0040,R2,,,,,,
pilot_0041,R2,,,,,,
pilot_0042,R2,,,,,,
pilot_0043,R2,,,,,,
pilot_0044,R2,,,,,,
pilot_0045,R2,,,,,,
pilot_0046,R2,,,,,,
pilot_0047,R2,,,,,,
pilot_0048,R2,,,,,,
pilot_0049,R2,,,,,,
pilot_0050,R2,,,,,,
pilot_0051,R2,,,,,,
pilot_0052,R2,,,,,,
pilot_0053,R2,,,,,,
pilot_0054,R2,,,,,,
pilot_0055,R2,,,,,,
pilot_0056,R2,,,,,,
pilot_0057,R2,,,,,,
pilot_0058,R2,,,,,,
pilot_0059,R2,,,,,,
pilot_0060,R2,,,,,,
pilot_0061,R2,,,,,,
pilot_0062,R2,,,,,,
pilot_0063,R2,,,,,,
pilot_0064,R2,,,,,,
pilot_0065,R2,,,,,,
pilot_0066,R2,,,,,,
pilot_0067,R2,,,,,,
pilot_0068,R2,,,,,,
pilot_0069,R2,,,,,,
pilot_0070,R2,,,,,,
pilot_0071,R2,,,,,,
pilot_0072,R2,,,,,,
pilot_0073,R2,,,,,,
pilot_0074,R2,,,,,,
pilot_0075,R2,,,,,,
pilot_0076,R2,,,,,,
pilot_0077,R2,,,,,,
pilot_0078,R2,,,,,,
pilot_0079,R2,,,,,,
pilot_0080,R2,,,,,,
pilot_0081,R2,,,,,,
pilot_0082,R2,,,,,,
pilot_0083,R2,,,,,,
pilot_0084,R2,,,,,,
pilot_0085,R2,,,,,,
pilot_0086,R2,,,,,,
pilot_0087,R2,,,,,,
pilot_0088,R2,,,,,,
pilot_0089,R2,,,,,,
pilot_0090,R2,,,,,,
pilot_0091,R2,,,,,,
pilot_0092,R2,,,,,,
pilot_0093,R2,,,,,,
pilot_0094,R2,,,,,,
pilot_0095,R2,,,,,,
pilot_0096,R2,,,,,,
pilot_0097,R2,,,,,,
pilot_0098,R2,,,,,,
pilot_0099,R2,,,,,,
pilot_0100,R2,,,,,,
pilot_0101,R2,,,,,,
pilot_0102,R2,,,,,,
pilot_0103,R2,,,,,,
pilot_0104,R2,,,,,,
pilot_0105,R2,,,,,,
pilot_0106,R2,,,,,,
pilot_0107,R2,,,,,,
pilot_0108,R2,,,,,,
pilot_0109,R2,,,,,,
pilot_0110,R2,,,,,,
pilot_0111,R2,,,,,,
pilot_0112,R2,,,,,,
pilot_0113,R2,,,,,,
pilot_0114,R2,,,,,,
pilot_0115,R2,,,,,,
pilot_0116,R2,,,,,,
pilot_0117,R2,,,,,,
pilot_0118,R2,,,,,,
pilot_0119,R2,,,,,,
pilot_0120,R2,,,,,,
pilot_0121,R2,,,,,,
pilot_0122,R2,,,,,,
pilot_0123,R2,,,,,,
pilot_0124,R2,,,,,,
pilot_0125,R2,,,,,,
pilot_0126,R2,,,,,,
pilot_0127,R2,,,,,,
pilot_0128,R2,,,,,,
pilot_0129,R2,,,,,,
pilot_0130,R2,,,,,,
pilot_0131,R2,,,,,,
pilot_0132,R2,,,,,,
pilot_0133,R2,,,,,,
pilot_0134,R2,,,,,,
pilot_0135,R2,,,,,,
pilot_0136,R2,,,,,,
pilot_0137,R2,,,,,,
pilot_0138,R2,,,,,,
pilot_0139,R2,,,,,,
pilot_0140,R2,,,,,,
pilot_0141,R2,,,,,,
pilot_0142,R2,,,,,,
pilot_0143,R2,,,,,,
pilot_0144,R2,,,,,,
pilot_0145,R2,,,,,,
pilot_0146,R2,,,,,,
pilot_0147,R2,,,,,,
pilot_0148,R2,,,,,,
pilot_0149,R2,,,,,,
pilot_0150,R2,,,,,,
pilot_0151,R2,,,,,,
pilot_0152,R2,,,,,,
pilot_0153,R2,,,,,,
pilot_0154,R2,,,,,,
pilot_0155,R2,,,,,,
pilot_0156,R2,,,,,,
pilot_0157,R2,,,,,,
pilot_0158,R2,,,,,,
pilot_0159,R2,,,,,,
