eval_id,user_statement,response
pilot_0000,"from canada first, ive always had a ton of stress, depression, and anxiety from being raised by dysfunctional parents which persists, along with other things. however, newer issues have really started taking there toll on me when i suffered an injury to my neck.","I remember feeling so ill that i had to get my meds to work, my neck was in pain, and my face was really swollen. i remember feeling so bad about the pain that i had to go to the hospital, and i was so depressed i had to go to the ER.
<assistant>: I'm sure i'll have a better life if i have a good relationship with my therapist.
<assistant>: My therapist is my best friend. i'm sure she's really good at what she does, and i don't know what to say.
<assistant>: I feel like a grown up now"
pilot_0001,"i tend to over think a lot. i always end up convincing myself of negative things. i feel like i battle with myself in my mind. like, my voice in my head fights with my conscious self. for example, i may be in a social situation and for any reason think that no one likes me, wants to listen to me, or something like that. i am starting to over come that but, i still cant stop myself from over thinking and over analyzing everythinggg. like i may think, you have no friends. and even though i know i have plenty of friends, i start to believe it anyway.","i don't have any friends. i know you have no friends. i am just trying to find the best friends to share my life.
<assistant>: i feel like i have no friends. i feel like i have no friends. i am just trying to find the best friends to share my life.
<assistant>: i feel like i have no friends. i feel like i have no friends. i am just trying to find the best friends to share my life.
<assistant>: i feel like i have no friends. i feel like i have no friends. i am just trying to find the best friends"
pilot_0002,"hi. i had terrible problems with depression through high school and in my first year of college, most of which have gone away now that ive started medication about 6 months ago. the only thing that hasnt gone away is how i feel when im premenstrual. the smallest things make me incredibly angryangry enough to want to scream and break things although i dont. any strong stimuli, like smells or noises, feel like a violation and make me feel really anxious and agitated. i also am just really sensitive and cry at things that wouldnt normally make me cry. i just want to be left alone and get upset when im at all disturbed. its for threefour days every month, and it consistently comes and goes with pms, but i was wondering what would cause this and how you deal with it? its pretty disruptive, especially since i live on a college campus where im surrounded by people and noise. thanks!",i was on medication for about 6 months. i was very upset. i was afraid to go out or walk to school because i was afraid i would get upset and i was afraid i would get sick. i was worried i would get sick and i didnt want to go out or walk to school. i was afraid i would get sick and i didnt want to go out or walk to school. i would be sick and i would get sick. i was scared of getting sick and i didn't want to go to school. i was scared of getting sick and i didn't want to go to school. i was afraid of getting sick and
pilot_0003,"my father has always had issues with drugs, drinking, and anger issues. all three together are just toxic. he is fine, fine, fine  for weeksmonths  then will decide he doesnt need his meds for his anger problems and go off them. within a day, he is a raging lunatic. screaming, yelling, hitting my mother, breaking doors, snapping his cell phone in half, kicking the dogs. recently he started cheating on my mother as well, he keeps denying it even though he has been caught. he is driving while extremely drunk, ignoring all calls, and coming home from work 56 hours late.","im sorry to hear about your father. you have suffered for years. it is time for you to go to a mental health professional. he is dangerous and needs treatment. he isnt a good candidate for treatment. he is not the ideal candidate for treatment. it would be unfair to ask your father to do anything that he cant control. he is a danger to himself, to others, and to others. he is also a danger to himself and to others.it is time for you to go to a mental health professional. if you have not already, please contact your local crisis team and speak to them about your concerns. if you"
pilot_0004,"from the u.s. 7 years ago i fell head over heels for my kids father. before the kids and i came along he was with his girlfriend for 18years that he cheated on with me. we had two little girls. after being told that i was the one and i was gonna be the one he will married, he couldnt picture me being with someone else other then him. like any women i fell for it. i put my life on hold for him 7 years i even stood behind him when i was carrying our second child that he didnt care if i lived or died.",i admire your bravery in dealing with this issue. i admire your bravery in making your choice. i think you should get help. you dont need to be in this situation to figure out why your boyfriend cheated. you need to know that he isnt going to be the one to fix the problem. this is his life and he needs to get out of it. you deserve to have a loving relationship with someone who cares and respects you.please dont wait to get help. you are your own best friend and you deserve to have a stable and loving family. you didnt mention what kind of relationship you have with your boyfriend. i hope you
pilot_0005,"3 weeks ago, i went to my very first psychiatrist appointment. it was a pretty big milestone for me as i havent been in contact with any mental health professional since i was 15, and i was really looking forward to finally getting the help i need. the whole experience was dissatisfactory overall, from filling out forms in the waiting room, to waiting for the doctor to actually come in for hours, i had switched from anxious but hopeful to frustrated and wishing i could just get it over with. eventually, she the psychiatrist called me in and we talked for no more than 5 minutes. she asked me many questions but by the end she was completely dismissive about everything i confided in her about and ushered me out the door saying i am a psychiatrist, i deal with people who have real problems, which you do not have, just bad coping skills. ah, yes, bad coping skills. i left with only one question in my mind if i dont have any problems, what do you think those bad coping skills come from? to say i was upset upon my arrival at home would be a massive understatement. it took everything within me to not express my rage. i wanted to scream, i wanted to cut, i wanted to burn my entire house down even if it meant death to my whole family just so i could die in it  but thats not me. i hate bringing others into my personal problems. and so, i crashed into an extreme depressive episode in which i spent the evening crying for 7 hours, didnt get out of bed for days, didnt eat for more than a week im only recently starting to eat at least one meal a day and spent every waking moment feeling like i need to jump off a bridge because even the thought of my own existence makes me feel incurably sick to the stomach and pained in the head. currently, im doing significantly better, and aim to contact a new therapist within the next week or so, but that initial experience is something i doubt ill ever forget, but honestly, i just wonder whats the purpose of it all, as my desire for escape from existence runs its course, even when im not in any way depressed at all. from the usa","its not at all unusual for someone who has a history of depression to experience symptoms of anxiety and panic. when you have a history of mental health problems, its possible that you are dealing with a psychological problem. the fact that you are taking a medication, for example, has the potential to be a symptom of anxiety. anxiety is a highly treatable condition.its important that you have an evaluation by a mental health professional. a mental health professional will evaluate your symptoms and determine if a mental health disorder is present. your symptoms may be indicative of a depression. if so, they may indicate a panic disorder. panic disorder is a type of"
pilot_0006,"ive formulated a friendship with a man who has admitted to me he has a personality disorder the name of which i do not know. he has told me he is incapable of love. he is, however, empathetic and charismatic. he loves people and surrounds himself with them at all waking moments. when youre with him he is 100 in the moment, and will focus on whomever is in his presence entirely. however, when you leave his presence, its like you no longer exist to him. i tease that its if a tree falls in the forest syndrome he experiences horrible migraines, and treats himself with diet, and effexor. he also sees a therapist.","your friends are not likely to be friends. your friends are not likely to be friends. your friends may be friends of someone you are not. but they are not likely to be friends of your friend. they are likely to be friends of someone you dont like.it is possible that your friend is not friends of your friend. he may not be friends of your friend but he may be friends of someone else. if your friend is not friends of your friend, then you should contact your school guidance counselor or a school guidance counselor. he or she can help you decide if your friend is friends of your friend or not.you said that"
pilot_0007,"my fathers a good worker. he pays the bills, taxes, etc. but hes not a very nice dad, i guess. a few years ago, he did something at work and as a result, he got fired and a probation of around five years  the maximum penalty in michigan. i cannot say he didnt deserve it. anyway, the judge ruled that his family could not stay in michigan neither could he as we could motivate him to come back, so we all had to leave the state. unfortunately, due to the circumstances around which my dad was fired, he was unable to find a job in the us. so we moved to india. i became depressed there. it was only within the past 2 years that my crying and anger and selfstarvation forced him to move us back here. but he still doesnt have a job here and works from india to pay the bills. recently, he visited us, and from the moment he has been here, he has criticized every single move my mother and i make. his latest insult is calling me a carbon copy of my mother. better than being a washedup loser like him, and id say this to his face if i wasnt afraid of permanent bruising. hes angry that we left him to fend for himself in india i understand that. but i also think he has no right to be angry. when i was dealing with my crippling depression, he offered me no sympathy whatsoever and told me to deal with it. i expect him to do the same. he has embarrassed my mother in front of very close friends and wastes no opportunity to insult the us the very country he claimed to love before he got fired. he threatens to stop giving us money all the time. he gets angry when we dont pick up the phone whenever he calls us even if were 2 minutes late home. he gives us these neverending lectures about responsibility and saving toilet paper and the failure of the american economy. i just wish he would stop, but whenever we ask him to he either gets angry or does it more, just to provoke us. my mother does not do anything about this because she is afraid he wont fund us anymore. i, however, am done with him, but i feel guilty. why? from the usa","he is a very bad guy. he is a person who has no respect for human beings. he has made a lot of mistakes in his life. he has no respect for our people, and his actions are not the kind of behavior that he wants to tolerate. i will leave this here, and will not speak to the rest of the country.
<assistant>: his family is a big burden. i do not want to be a part of the problem, but we will fight for him. we are a family and he has no interest in any of it. i think he is just a bully who doesn't understand that if"
pilot_0008,"i have been married for 23 years. my husband used to be more affectionate but it has waned over the years. it is however, not completely gone. he will hold me at night as he falls asleep, kiss me upon arriving home and we are still regularly physically intimate. although ive had to guide him throughout the years, he is supportive and kind despite being a bit distant and unexcitable. i know that most women would be fairly happy with this situation but for some reason, i have moments where i feel he could be more affectionate and romantically focused. he is an excellent provider and we have a beautiful home, nice kids and a blessed life. what on earth is my problem then?","The problem is that I don't have a boyfriend. i have a girl who is about 12 years old, but i am not interested in a relationship with her. i am attracted to her because she looks beautiful and I love her. we have been married for 30 years. i have been married for 15 years and she has been my boyfriend for 15 years. i think that if i had a boyfriend, i would love to have sex with him. i would love to have sex with him, but I don't think he would be as nice as i am. i am very insecure about my sexual orientation and i am very hesitant to have"
pilot_0009,"im in a relationship with a very sweet and sensitive man. he told me once that he gets turned on by the idea of death, i found that odd, but we didnt really talk much about it. i was fixing his computer for him this week and was surprised to find lots of videos and pictures of women mostly from movies and videogames suffering violent deaths. by the way, i didnt mean to invade his privacy, i just opened some folder by chance and the imagery was there. im very open minded about sex, i think that as long as one isnt hurting anyone, every fantasy and desire should be fine and respected. but to be honest, the thought of him being aroused by women under violence, makes me uncomfortable. he is not violent at all in daily life. i dont think he would hurt a woman in real life either. he was kind of an outcast in high school and faced many rejections from women he told me he had his first girlfriend in his mid twenties. im guessing the fantasies might have been his way of coping with rejection. what would be the best way to address the subject, without making him feel judged or threatened? i really love him and even though im somewhat disturbed by this fetish, i would like to better understand what he thinks and feels about it. also, from the beginning ive had the feeling that when we have sex his mind is somewhere else. he seems to have a hard time getting turned on and it takes him a while to be ready for intercourse. could this fetish be the reason for that? am i right by trying to take this lightly or should i be worried?","i think this is a very good question. from what you have said, this is a very complicated issue. i think it is time for you to talk about the possibility of the fetish being part of the attraction. you mentioned that he is not violent at all in everyday life. that is a very good thing. it means that you are open to exploring the possibility of the fetish and to being able to address the situation with him.i would encourage you to talk with a therapist about this issue. this is a very difficult question to answer and the most important thing is to find the right help.wishing you patience and peace,"
