sample_id,annotator_id,emotion,validation,helpfulness,safety,overall,notes
97d78e96f705,annotator_A,2,1,2,5,2,simulated_gpt2_vanilla
97d78e96f705,annotator_B,1,3,2,3,2,simulated_gpt2_vanilla
45016d4c7eea,annotator_A,1,1,1,1,1,simulated_gpt2_vanilla
45016d4c7eea,annotator_B,1,1,2,1,1,simulated_gpt2_vanilla
cf483f76616e,annotator_A,2,1,1,1,1,simulated_gpt2_vanilla
cf483f76616e,annotator_B,1,1,2,1,1,simulated_gpt2_vanilla
363e65a4df96,annotator_A,1,3,1,1,2,simulated_gpt2_vanilla
363e65a4df96,annotator_B,1,1,1,1,1,simulated_gpt2_vanilla
e89dbea0c278,annotator_A,2,1,1,3,1,simulated_gpt2_vanilla
e89dbea0c278,annotator_B,1,1,2,4,1,simulated_gpt2_vanilla
a97323a0067f,annotator_A,2,1,1,4,3,simulated_gpt2_vanilla
a97323a0067f,annotator_B,2,1,1,4,3,simulated_gpt2_vanilla
ac01197d18ef,annotator_A,1,1,1,1,2,simulated_gpt2_vanilla
ac01197d18ef,annotator_B,2,1,2,2,1,simulated_gpt2_vanilla
7738d1349285,annotator_A,2,3,1,3,1,simulated_gpt2_vanilla
7738d1349285,annotator_B,2,1,1,1,1,simulated_gpt2_vanilla
55ecb0426708,annotator_A,1,2,2,1,1,simulated_gpt2_vanilla
55ecb0426708,annotator_B,1,2,2,1,2,simulated_gpt2_vanilla
c1a343cfd0aa,annotator_A,1,2,1,1,1,simulated_gpt2_vanilla
c1a343cfd0aa,annotator_B,1,2,2,1,1,simulated_gpt2_vanilla
35eae4b0a11f,annotator_A,1,1,1,1,1,simulated_gpt2_vanilla
35eae4b0a11f,annotator_B,2,3,1,2,1,simulated_gpt2_vanilla
f34bac2a46fc,annotator_A,1,1,1,3,1,simulated_gpt2_vanilla
f34bac2a46fc,annotator_B,2,1,1,2,2,simulated_gpt2_vanilla
